iter num.topics likelihood alpha gamma
157 3 -3133.74 0.0654573 0.519923
158 3 -3177.18 0.0812106 0.812795
159 3 -3135.79 0.0667807 0.64533
160 2 -3141.18 0.085213 0.717815
161 2 -3136.67 0.0841444 0.54208
162 2 -3148.89 0.0983627 0.110521
163 2 -3183.85 0.103739 0.210644
164 2 -3219.39 0.116225 0.0905275
165 2 -3248.93 0.148993 0.213524
166 2 -3269.07 0.109508 0.155006
167 2 -3266.3 0.14809 0.251202
168 2 -3212.7 0.150568 0.107084
169 2 -3211.89 0.129199 0.12505
170 2 -3265.57 0.151851 0.213672
171 2 -3282.1 0.193797 0.161673
172 2 -3311.06 0.194666 0.305917
173 2 -3273.11 0.17156 0.729346
174 2 -3268.11 0.152433 0.132852
175 3 -3281.87 0.164319 0.356114
176 3 -3268.51 0.107538 0.307484
177 3 -3198.38 0.0973208 0.201949
178 3 -3201.86 0.0896257 0.664287
179 2 -3166.71 0.0538496 0.230534
180 2 -3123.8 0.0544142 0.479738
181 2 -3114.97 0.0481306 0.417044
182 2 -3111.21 0.0496069 0.211007
183 2 -3091.24 0.0338013 0.376586
184 2 -3072.7 0.02754 0.0364987
185 2 -3053.05 0.0210912 0.453023
186 2 -3050.03 0.0175679 0.373418
187 2 -3016 0.0201173 0.259601
188 2 -3041.56 0.0177893 0.349756
189 2 -3057.54 0.0291144 0.206126
190 2 -3037.75 0.021952 0.27237
191 2 -3036.86 0.0098253 0.330273
192 2 -3004.75 0.00655781 0.13164
193 2 -3005.16 0.00587673 0.508948
194 2 -3009.48 0.00563486 0.224726
195 2 -3004.95 0.00310009 0.362672
196 2 -3006.29 0.00430716 0.325592
197 2 -2999.02 0.00973929 1.06236
198 2 -3002.44 0.00766442 0.2207
199 2 -3006.91 0.0200434 0.184206
200 2 -3048.71 0.0233547 0.00663428
201 2 -3054.74 0.0114954 0.275746
202 2 -3034.68 0.0186159 0.133848
203 2 -3013.22 0.0105363 0.38908
204 2 -3009.85 0.00786142 0.360713
205 2 -3007.26 0.0179042 0.200061
206 2 -2986.87 0.000546275 0.390485
207 2 -2983.95 0.00552757 0.391846
208 2 -2989.92 0.00365618 0.46236
209 2 -2989.4 0.00475551 0.605205
210 2 -2991.16 0.00357915 0.456666
211 2 -2982.95 0.00299094 0.121336
212 2 -2976.95 0.00132366 0.311028
213 2 -2977.21 0.000650567 0.476543
214 2 -2978.28 0.000572001 0.738628
215 2 -2981.24 0.00968293 0.376926
216 2 -3011.23 0.00781117 0.301744
217 2 -3010.43 0.0125158 0.228596
218 2 -3030.97 0.011835 0.334162
219 2 -3001.7 0.0032878 0.0518516
220 2 -3001.89 0.00321702 0.11024
221 2 -3010.27 0.0143016 0.407543
222 2 -3012.29 0.0071132 0.337167
223 2 -2995.87 0.00409637 0.270668
224 2 -2991.14 0.00422201 0.175056
225 2 -2987.77 0.00326798 0.277718
226 2 -3011.12 0.0149397 0.266343
227 2 -3009.96 0.0132747 0.323718
228 2 -3012.78 0.00930389 0.116691
229 2 -3008.23 0.0139178 0.116941
230 2 -3014.35 0.0118038 0.446692
231 2 -3021.69 0.00904696 0.225459
232 2 -2993.17 0.00564757 0.297653
233 2 -2983.01 0.0025835 0.311031
234 2 -2983.69 0.00184841 0.505834
235 2 -2977.11 0.00220126 0.176736
236 2 -2982.27 0.0121305 0.3274
237 2 -3008.47 0.0155826 0.335058
238 2 -3024.99 0.012606 0.152702
239 2 -2989.8 0.00236671 0.166274
240 2 -2989.93 0.00678994 0.120411
241 2 -3004.75 0.00368764 0.509652
242 2 -2989.66 0.000406795 0.262486
243 2 -2977.92 0.00152653 0.54552
244 2 -2985.63 0.00309544 0.895366
245 2 -2985 0.000825642 0.734306
246 2 -2977.36 0.000815205 0.0262535
247 2 -2982.96 0.00130524 0.201754
248 2 -2978.61 0.000829409 0.782894
249 2 -2986.27 0.0052032 0.0967645
250 2 -2998.43 0.00702157 0.293657
251 2 -2996.54 0.00831676 0.358841
252 2 -2991.6 0.00156348 0.142611
253 2 -2992.63 0.00269806 0.0402011
254 2 -2988.02 9.63966e-05 0.637844
255 2 -2976.5 0.000335106 0.0621767
256 2 -2977.92 0.00335576 0.300334
257 2 -2977.13 0.00133693 0.36406
258 2 -2976.39 0.000685444 0.202879
259 2 -2983.45 0.000745217 0.342651
260 2 -2978.71 0.000807843 0.807572
261 2 -2976.81 0.000610608 0.374239
262 2 -2977.53 0.00233857 0.0572489
263 2 -2989.63 0.00673675 0.58979
264 2 -2992.15 0.00418434 0.409423
265 2 -2976.44 0.000136034 0.332602
266 2 -2979.21 0.00597101 0.0667271
267 2 -2985.31 0.00108717 0.842886
268 2 -2985.72 0.00073321 0.476753
269 2 -2989.82 0.00623332 0.204813
270 2 -2990.24 0.00332656 0.530733
271 2 -2989.01 0.00169341 0.42121
272 2 -2983.67 0.00173257 0.365721
273 2 -2991.65 0.00534736 2.09822
274 2 -2988.91 0.00614332 0.410312
275 2 -2983.1 0.00244666 0.336729
276 2 -2986.28 0.00651199 0.243297
277 2 -2982.79 0.00198066 0.237167
278 2 -2976.54 0.00105281 0.144625
279 2 -2983.28 0.00295732 0.344982
280 2 -2977.16 0.00179459 0.302847
281 2 -2982.9 0.00333472 0.129247
282 2 -2979.56 0.00670812 0.302085
283 2 -2987.07 0.00556497 0.227269
284 2 -3005.89 0.0232687 0.867377
285 2 -3022.33 0.0203374 0.140882
286 2 -3028.75 0.0361281 0.409576
287 2 -3060.37 0.0318085 0.542578
288 2 -3052.72 0.0125725 0.569387
289 2 -3006.2 0.0120145 0.748505
290 2 -3021.39 0.0144396 0.640047
291 2 -3019.96 0.0163253 0.427913
292 2 -3000.55 0.0146923 0.194944
293 2 -3005.87 0.0121611 0.177098
294 2 -2998.23 0.0101458 0.349131
295 2 -3029.22 0.00924271 0.941978
296 2 -3020.72 0.0127044 0.125522
297 2 -3015.63 0.0165682 0.351051
298 2 -3022.48 0.0180156 0.639234
299 2 -3018.31 0.0163693 0.348689
300 2 -3047.98 0.0245648 0.302202
301 2 -3037.74 0.0319068 0.567758
302 2 -3060.42 0.0453563 0.208693
303 2 -3053.97 0.0210761 0.311456
304 2 -3054.02 0.0205823 0.254354
305 2 -3042.79 0.0267711 0.139488
306 2 -3038.64 0.0248982 0.0973021
307 2 -3051.98 0.0205062 0.197021
308 2 -3056.18 0.0258349 0.221189
309 2 -3066.67 0.0258713 0.113286
310 2 -3046.91 0.0282743 0.419195
311 2 -3049.79 0.0319629 0.138497
312 2 -3080.84 0.0398728 0.168682
313 2 -3108.03 0.0372493 0.122758
314 2 -3096.2 0.0558928 0.476278
315 2 -3115.39 0.0535736 0.213345
316 2 -3109.29 0.0596926 0.889275
317 2 -3086.63 0.0376202 0.242919
318 2 -3077.3 0.0299156 0.292204
319 2 -3063.86 0.0213237 0.308169
320 2 -3085.27 0.0335894 0.28169
321 2 -3103.62 0.0383078 0.0837049
322 2 -3140.9 0.0334804 0.483824
323 2 -3113.98 0.0522298 0.133991
324 2 -3095.81 0.0426887 0.27686
325 2 -3094.1 0.0408696 0.672661
326 2 -3132.64 0.0605465 0.164629
327 2 -3129.33 0.0670693 0.756868
328 2 -3089.82 0.0299698 0.0120757
329 2 -3077.91 0.036985 0.109839
330 2 -3055.03 0.0421232 0.188485
331 2 -3058.99 0.0284799 0.0828031
332 2 -3035.86 0.0154204 0.393982
333 2 -3019.63 0.0149551 0.225068
334 2 -3032.75 0.00993078 0.453015
335 2 -3028.81 0.00568045 0.448794
336 2 -3015.23 0.00785676 0.1242
337 2 -3019.74 0.0164811 0.0997624
338 2 -3032.05 0.0326754 0.551362
339 2 -3061.18 0.0283009 0.310012
340 2 -3062.56 0.0382123 0.338356
341 2 -3108.38 0.0474597 0.136507
342 2 -3058.38 0.0408764 0.786566
343 3 -3062.98 0.0199001 0.601628
344 2 -3024.47 0.0274741 0.496756
345 2 -3020.99 0.0147174 0.122709
346 2 -3013.68 0.00820188 0.450337
347 2 -2996.07 0.00468486 1.05303
348 2 -2991.82 0.00758336 0.378206
349 2 -2999.95 0.00597955 1.11132
350 2 -3020.08 0.00275443 0.58404
351 2 -3004.98 0.00141808 0.278419
352 2 -2996.92 0.0134444 0.386635
353 2 -2995.81 0.0078061 0.55369
354 2 -3029.1 0.0115625 0.330071
355 2 -3035.47 0.0205447 0.52264
356 2 -3064.57 0.0222648 0.258042
357 2 -3081.45 0.0479831 0.285485
358 2 -3096.69 0.0392944 0.261385
359 2 -3068 0.0303521 0.286335
360 2 -3061.11 0.0342042 1.08847
361 2 -3070.09 0.0446987 0.279428
362 2 -3061.35 0.0367752 0.299337
363 2 -3084.03 0.0441551 0.475461
364 2 -3084.81 0.0481829 0.481436
365 2 -3061.35 0.0345275 0.198912
366 2 -3041.22 0.0412567 0.103572
367 2 -3079.43 0.0441841 0.117875
368 2 -3078.16 0.0258571 0.265633
369 2 -3048.46 0.0191798 0.280813
370 2 -3055.72 0.0297614 0.210427
